排名,用户,度中心性,介数中心性,接近中心性,特征向量中心性,综合中心性
1,User_004,0.16387959866220736,0.1717795109098263,0.4925864909390445,0.3147375096150946,0.9978330269823157
2,User_005,0.15384615384615385,0.1500665173306933,0.48697068403908794,0.31818500117599596,0.9414324120445032
3,User_006,0.1471571906354515,0.13599432417980128,0.4671875,0.2635747469868109,0.8622530150018299
4,User_007,0.13712374581939799,0.12283490732453337,0.47086614173228347,0.26763655142489307,0.8249504469990033
5,User_000,0.11371237458193979,0.0944592645198119,0.4664586583463339,0.2587514851093535,0.7251630078418505
6,User_012,0.10702341137123746,0.08091051011131072,0.43459302325581395,0.16307812870343363,0.6161812050040122
7,User_003,0.09364548494983277,0.0686995010186672,0.43270622286541244,0.156284920065278,0.5653297468665106
8,User_010,0.0903010033444816,0.0542076056158268,0.41585535465924894,0.15740640223341548,0.5277614261468598
9,User_008,0.06688963210702341,0.0399431037120011,0.41412742382271467,0.12495654214364496,0.4388939777743813
10,User_034,0.07357859531772575,0.03749177520171376,0.39866666666666667,0.10077900496218024,0.42538328008907866
11,User_009,0.06020066889632107,0.0382441758329817,0.4056987788331072,0.11656077049392179,0.41498254162403936
12,User_001,0.06020066889632107,0.03189979459519173,0.4107142857142857,0.1227604498438009,0.40983585557687363
13,User_014,0.06354515050167224,0.03689158648412944,0.39707835325365204,0.09806605515093487,0.40361759588446117
14,User_022,0.06020066889632107,0.032485415475201194,0.3997326203208556,0.0914455142705324,0.3867163450129971
15,User_025,0.056856187290969896,0.02489531785059571,0.4008042895442359,0.12012187787153106,0.38579844294675963
